frontdoor: 2018-11-13 23:21:58
2018-11-19 11:22:27: flurdoor opened
2018-11-19 11:22:31: flurdoor closed
2018-11-19 11:22:33: frontdoor opened
2018-11-19 11:22:38: frontdoor closed
2018-11-19 12:28:22: frontdoor opened
2018-11-19 12:28:33: flurdoor opened
2018-11-19 12:29:53: frontdoor closed
2018-11-19 12:30:05: flurdoor closed
2018-11-19 13:16:36: flurdoor opened
2018-11-19 13:16:39: frontdoor opened
2018-11-19 13:16:56: frontdoor closed
2018-11-19 13:17:05: flurdoor closed
2018-11-19 13:27:36: flurdoor opened
2018-11-19 13:27:39: frontdoor opened
2018-11-19 13:29:30: frontdoor closed
2018-11-19 13:30:49: frontdoor opened
2018-11-19 13:31:07: frontdoor closed
2018-11-19 13:31:15: flurdoor closed
2018-11-19 16:04:32: flurdoor opened
2018-11-19 16:05:07: flurdoor closed
2018-11-19 16:05:07: frontdoor opened
2018-11-19 16:05:13: frontdoor closed
2018-11-19 16:42:01: flurdoor opened
2018-11-19 16:42:08: flurdoor closed
2018-11-19 16:42:09: frontdoor opened
2018-11-19 16:42:14: frontdoor closed
2018-11-19 16:50:16: frontdoor opened
2018-11-19 16:50:22: frontdoor closed
2018-11-19 16:50:23: flurdoor opened
2018-11-19 16:50:28: flurdoor closed
2018-11-19 16:55:39: frontdoor opened
2018-11-19 16:55:42: flurdoor opened
2018-11-19 16:55:46: frontdoor closed
2018-11-19 16:56:26: flurdoor closed
2018-11-19 16:58:46: flurdoor opened
2018-11-19 16:58:49: flurdoor closed
2018-11-19 16:58:50: frontdoor opened
2018-11-19 16:58:55: frontdoor closed
2018-11-20 06:42:17: flurdoor opened
2018-11-20 06:42:22: flurdoor closed
2018-11-20 06:42:23: frontdoor opened
2018-11-20 06:42:29: frontdoor closed
2018-11-20 07:28:11: flurdoor opened
2018-11-20 07:28:16: frontdoor opened
2018-11-20 07:28:42: frontdoor closed
2018-11-20 07:28:46: flurdoor closed
2018-11-20 07:29:03: frontdoor opened
2018-11-20 07:29:06: flurdoor opened
2018-11-20 07:29:19: flurdoor closed
2018-11-20 07:29:25: frontdoor closed
2018-11-20 08:10:46: flurdoor opened
2018-11-20 08:10:50: frontdoor opened
2018-11-20 08:10:54: flurdoor closed
2018-11-20 08:12:45: frontdoor closed
2018-11-20 08:12:45: flurdoor opened
2018-11-20 08:12:50: flurdoor closed
2018-11-20 11:03:10: flurdoor opened
2018-11-20 11:03:12: frontdoor opened
2018-11-20 11:03:53: flurdoor closed
2018-11-20 11:03:57: flurdoor opened
2018-11-20 11:04:21: flurdoor closed
2018-11-20 11:06:16: frontdoor closed
2018-11-20 11:06:17: flurdoor opened
2018-11-20 11:06:21: flurdoor closed
2018-11-20 12:27:35: frontdoor opened
2018-11-20 12:27:42: flurdoor opened
2018-11-20 12:29:00: flurdoor closed
2018-11-20 12:29:29: flurdoor opened
2018-11-20 12:29:34: frontdoor closed
2018-11-20 12:29:39: flurdoor closed
2018-11-20 13:14:36: flurdoor opened
